Date,Name,Market,Ticker,MarketCap,Price,Currency
2025-05-07,百度,US,BIDU,2181.06,625.65,CNY
2025-05-08,百度,US,BIDU,2207.68,633.29,CNY
2025-05-09,百度,US,BIDU,2187.78,627.58,CNY
2025-05-12,百度,US,BIDU,2302.39,660.46,CNY
2025-05-13,百度,US,BIDU,2286.89,656.01,CNY
2025-05-14,百度,US,BIDU,2323.55,666.53,CNY
2025-05-15,百度,US,BIDU,2240.41,642.68,CNY
2025-05-16,百度,US,BIDU,2244.42,643.83,CNY
2025-05-19,百度,US,BIDU,2242.94,643.4,CNY
2025-05-20,百度,US,BIDU,2245.2,644.05,CNY
2025-05-21,百度,US,BIDU,2151.3,617.11,CNY
2025-05-22,百度,US,BIDU,2110.68,605.46,CNY
2025-05-23,百度,US,BIDU,2104.68,603.74,CNY
2025-05-27,百度,US,BIDU,2107.44,604.53,CNY
2025-05-28,百度,US,BIDU,2089.11,599.28,CNY
2025-05-29,百度,US,BIDU,2119.24,607.92,CNY
2025-05-30,百度,US,BIDU,2056.71,589.98,CNY
2025-06-02,百度,US,BIDU,2085.84,598.34,CNY
2025-06-03,百度,US,BIDU,2103.17,603.31,CNY
2025-06-04,百度,US,BIDU,2131.8,611.52,CNY
2025-06-05,百度,US,BIDU,2155.91,618.44,CNY
2025-06-06,百度,US,BIDU,2146.32,615.69,CNY
2025-06-09,百度,US,BIDU,2221.81,637.34,CNY
2025-06-10,百度,US,BIDU,2189.93,628.2,CNY
2025-06-11,百度,US,BIDU,2191.43,628.63,CNY
2025-06-12,百度,US,BIDU,2201.79,631.6,CNY
2025-06-13,百度,US,BIDU,2156.41,618.58,CNY
2025-06-16,百度,US,BIDU,2184.16,626.54,CNY
2025-06-17,百度,US,BIDU,2152.52,617.47,CNY
2025-06-18,百度,US,BIDU,2117.35,607.38,CNY
2025-06-20,百度,US,BIDU,2095.33,601.06,CNY
2025-06-23,百度,US,BIDU,2110.62,605.45,CNY
2025-06-24,百度,US,BIDU,2169.29,622.28,CNY
2025-06-25,百度,US,BIDU,2166.21,621.39,CNY
2025-06-26,百度,US,BIDU,2163.0,620.47,CNY
2025-06-27,百度,US,BIDU,2152.07,617.34,CNY
2025-06-30,百度,US,BIDU,2144.2,615.08,CNY
2025-07-01,百度,US,BIDU,2148.65,616.36,CNY
2025-07-02,百度,US,BIDU,2158.91,619.3,CNY
2025-07-03,百度,US,BIDU,2156.78,618.69,CNY
2025-07-07,百度,US,BIDU,2242.71,643.34,CNY
2025-07-08,百度,US,BIDU,2257.94,647.7,CNY
2025-07-09,百度,US,BIDU,2217.23,636.03,CNY
2025-07-10,百度,US,BIDU,2213.64,635.0,CNY
2025-07-11,百度,US,BIDU,2174.27,623.71,CNY
2025-07-14,百度,US,BIDU,2145.75,615.52,CNY
2025-07-15,百度,US,BIDU,2331.06,668.68,CNY
2025-07-16,百度,US,BIDU,2158.44,619.16,CNY
2025-07-17,百度,US,BIDU,2189.91,628.19,CNY
2025-07-18,百度,US,BIDU,2198.85,630.76,CNY
2025-07-21,百度,US,BIDU,2222.19,637.45,CNY
2025-07-22,百度,US,BIDU,2312.56,663.37,CNY
2025-07-23,百度,US,BIDU,2327.93,667.78,CNY
2025-07-24,百度,US,BIDU,2270.97,651.44,CNY
2025-07-25,百度,US,BIDU,2264.33,649.54,CNY
2025-07-28,百度,US,BIDU,2229.41,639.52,CNY
2025-07-29,百度,US,BIDU,2171.93,623.03,CNY
2025-07-30,百度,US,BIDU,2149.99,616.74,CNY
2025-07-31,百度,US,BIDU,2198.27,630.59,CNY
2025-08-01,百度,US,BIDU,2161.89,620.15,CNY
2025-08-04,百度,US,BIDU,2203.27,632.02,CNY
2025-08-05,百度,US,BIDU,2148.47,616.3,CNY
2025-08-06,百度,US,BIDU,2173.87,623.59,CNY
2025-08-07,百度,US,BIDU,2190.22,628.28,CNY
2025-08-08,百度,US,BIDU,2186.92,627.33,CNY
2025-08-11,百度,US,BIDU,2152.62,617.49,CNY
2025-08-12,百度,US,BIDU,2200.73,631.3,CNY
2025-08-13,百度,US,BIDU,2279.0,653.75,CNY
2025-08-14,百度,US,BIDU,2219.14,636.58,CNY
2025-08-15,百度,US,BIDU,2248.78,645.08,CNY
2025-08-18,百度,US,BIDU,2256.48,647.29,CNY
2025-08-19,百度,US,BIDU,2230.84,639.93,CNY
2025-08-20,百度,US,BIDU,2172.17,623.1,CNY
2025-08-21,百度,US,BIDU,2191.55,628.66,CNY
2025-08-22,百度,US,BIDU,2252.91,646.26,CNY
2025-08-25,百度,US,BIDU,2296.99,658.91,CNY
2025-08-26,百度,US,BIDU,2305.41,661.32,CNY
2025-08-27,百度,US,BIDU,2240.41,642.68,CNY
2025-08-28,百度,US,BIDU,2268.41,650.71,CNY
2025-08-29,百度,US,BIDU,2376.38,681.68,CNY
2025-09-02,百度,US,BIDU,2393.48,686.59,CNY
2025-09-03,百度,US,BIDU,2399.1,688.2,CNY
2025-09-04,百度,US,BIDU,2444.97,701.36,CNY
2025-09-05,百度,US,BIDU,2538.33,728.14,CNY
2025-09-08,百度,US,BIDU,2701.51,774.95,CNY
2025-09-09,百度,US,BIDU,2695.82,773.32,CNY
2025-09-10,百度,US,BIDU,2671.05,766.21,CNY
2025-09-11,百度,US,BIDU,2775.73,796.24,CNY
2025-09-12,百度,US,BIDU,2848.28,817.05,CNY
2025-09-15,百度,US,BIDU,2851.6,818.0,CNY
2025-09-16,百度,US,BIDU,3071.91,881.2,CNY
2025-09-17,百度,US,BIDU,3418.25,980.55,CNY
2025-09-18,百度,US,BIDU,3349.13,960.72,CNY
2025-09-19,百度,US,BIDU,3356.13,962.73,CNY
2025-09-22,百度,US,BIDU,3387.87,971.84,CNY
2025-09-23,百度,US,BIDU,3114.11,893.3,CNY
2025-09-24,百度,US,BIDU,3295.28,945.27,CNY
2025-09-25,百度,US,BIDU,3366.15,965.61,CNY
2025-09-26,百度,US,BIDU,3266.27,936.95,CNY
2025-09-29,百度,US,BIDU,3353.34,961.93,CNY
2025-09-30,百度,US,BIDU,3270.35,938.12,CNY
2025-10-01,百度,US,BIDU,3410.88,978.44,CNY
2025-10-02,百度,US,BIDU,3480.12,998.3,CNY
2025-10-03,百度,US,BIDU,3524.05,1010.9,CNY
2025-10-06,百度,US,BIDU,3596.27,1031.61,CNY
2025-10-07,百度,US,BIDU,3448.11,989.11,CNY
2025-10-08,百度,US,BIDU,3422.3,981.71,CNY
2025-10-09,百度,US,BIDU,3285.57,942.49,CNY
2025-10-10,百度,US,BIDU,3023.61,867.35,CNY
2025-10-13,百度,US,BIDU,3111.7,892.61,CNY
2025-10-14,百度,US,BIDU,2968.63,851.57,CNY
2025-10-15,百度,US,BIDU,3025.5,867.89,CNY
2025-10-16,百度,US,BIDU,3003.19,861.49,CNY
2025-10-17,百度,US,BIDU,2979.99,854.83,CNY
2025-10-20,百度,US,BIDU,3033.83,870.28,CNY
2025-10-21,百度,US,BIDU,2956.93,848.22,CNY
2025-10-22,百度,US,BIDU,2905.5,833.46,CNY
2025-10-23,百度,US,BIDU,2992.79,858.5,CNY
2025-10-24,百度,US,BIDU,3049.43,874.75,CNY
2025-10-27,百度,US,BIDU,3193.93,916.2,CNY
2025-10-28,百度,US,BIDU,3143.43,901.72,CNY
2025-10-29,百度,US,BIDU,3157.69,905.81,CNY
2025-10-30,百度,US,BIDU,3014.49,864.73,CNY
2025-10-31,百度,US,BIDU,2995.78,859.36,CNY
2025-11-03,百度,US,BIDU,3007.71,862.78,CNY
2025-11-04,百度,US,BIDU,3124.91,896.4,CNY
2025-11-05,百度,US,BIDU,3065.22,879.28,CNY
2025-11-06,百度,US,BIDU,3155.88,905.29,CNY
2025-11-07,百度,US,BIDU,3125.8,896.66,CNY
2025-11-10,百度,US,BIDU,3283.63,941.93,CNY
2025-11-11,百度,US,BIDU,3274.77,939.39,CNY
2025-11-12,百度,US,BIDU,3200.07,917.96,CNY
2025-11-13,百度,US,BIDU,2994.33,858.94,CNY
2025-11-14,百度,US,BIDU,2875.97,824.99,CNY
2025-11-17,百度,US,BIDU,2824.02,810.09,CNY
2025-11-18,百度,US,BIDU,2902.39,832.57,CNY
2025-11-19,百度,US,BIDU,2861.51,820.85,CNY
2025-11-20,百度,US,BIDU,2736.64,785.02,CNY
2025-11-21,百度,US,BIDU,2749.02,788.58,CNY
2025-11-24,百度,US,BIDU,2953.31,847.18,CNY
2025-11-25,百度,US,BIDU,2918.55,837.21,CNY
2025-11-26,百度,US,BIDU,2873.24,824.21,CNY
2025-11-28,百度,US,BIDU,2883.28,827.09,CNY
2025-12-01,百度,US,BIDU,2952.55,846.96,CNY
2025-12-02,百度,US,BIDU,2933.38,841.46,CNY
2025-12-03,百度,US,BIDU,2890.53,829.17,CNY
2025-12-04,百度,US,BIDU,2923.37,838.59,CNY
2025-12-05,百度,US,BIDU,3097.68,888.59,CNY
2025-12-08,百度,US,BIDU,3205.33,919.47,CNY
2025-12-09,百度,US,BIDU,3055.11,876.38,CNY
2025-12-10,百度,US,BIDU,3104.23,890.47,CNY
2025-12-11,百度,US,BIDU,3159.7,906.38,CNY
2025-12-12,百度,US,BIDU,3075.78,882.31,CNY
2025-12-15,百度,US,BIDU,2922.11,838.23,CNY
2025-12-16,百度,US,BIDU,2931.0,840.78,CNY
2025-12-17,百度,US,BIDU,2933.46,841.48,CNY
2025-12-18,百度,US,BIDU,2958.31,848.61,CNY
2025-12-19,百度,US,BIDU,3038.99,871.75,CNY
2025-12-22,百度,US,BIDU,3053.64,875.96,CNY
2025-12-23,百度,US,BIDU,3039.4,871.87,CNY
2025-12-24,百度,US,BIDU,3022.32,866.97,CNY
2025-12-26,百度,US,BIDU,3057.6,877.09,CNY
2025-12-29,百度,US,BIDU,3106.85,891.22,CNY
2025-12-30,百度,US,BIDU,3232.97,927.4,CNY
2025-12-31,百度,US,BIDU,3186.64,914.11,CNY
2026-01-02,百度,US,BIDU,3665.64,1051.51,CNY
2026-01-05,百度,US,BIDU,3648.95,1046.73,CNY
2026-01-06,百度,US,BIDU,3566.87,1023.18,CNY
2026-01-07,百度,US,BIDU,3574.02,1025.23,CNY
2026-01-08,百度,US,BIDU,3445.36,988.33,CNY
2026-01-09,百度,US,BIDU,3494.46,1002.41,CNY
2026-01-12,百度,US,BIDU,3703.41,1062.35,CNY
2026-01-13,百度,US,BIDU,3630.49,1041.43,CNY
2026-01-14,百度,US,BIDU,3660.76,1050.11,CNY
2026-01-15,百度,US,BIDU,3631.66,1041.77,CNY
2026-01-16,百度,US,BIDU,3631.17,1041.63,CNY
2026-01-20,百度,US,BIDU,3644.16,1045.35,CNY
2026-01-21,百度,US,BIDU,3937.33,1129.45,CNY
2026-01-22,百度,US,BIDU,3945.31,1131.74,CNY
2026-01-23,百度,US,BIDU,3924.1,1125.66,CNY
2026-01-26,百度,US,BIDU,3793.82,1088.28,CNY
2026-01-27,百度,US,BIDU,3821.62,1096.26,CNY
2026-01-28,百度,US,BIDU,3822.52,1096.52,CNY
2026-01-29,百度,US,BIDU,3818.64,1095.4,CNY
2026-01-30,百度,US,BIDU,3710.19,1064.29,CNY
2026-02-02,百度,US,BIDU,3600.09,1032.71,CNY
2026-02-03,百度,US,BIDU,3507.81,1006.24,CNY
2025-02-04,百度,HK,9888.HK,2262.27,80.65,CNY
2025-02-05,百度,HK,9888.HK,2271.62,80.98,CNY
2025-02-06,百度,HK,9888.HK,2269.76,80.91,CNY
2025-02-07,百度,HK,9888.HK,2264.54,80.73,CNY
2025-02-10,百度,HK,9888.HK,2347.08,83.67,CNY
2025-02-11,百度,HK,9888.HK,2334.74,83.23,CNY
2025-02-12,百度,HK,9888.HK,2338.76,83.37,CNY
2025-02-13,百度,HK,9888.HK,2474.2,88.2,CNY
2025-02-14,百度,HK,9888.HK,2534.83,90.36,CNY
2025-02-17,百度,HK,9888.HK,2348.94,83.73,CNY
2025-02-18,百度,HK,9888.HK,2358.87,84.09,CNY
2025-02-19,百度,HK,9888.HK,2320.35,82.72,CNY
